dataset1_drug_id,smiles,dataset1_ik14,overlap
DB00140,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,AUNGANRZJHBGPY,0
DB00142,N[C@@H](CCC(O)=O)C(O)=O,WHUUTDBJXJRKMK,0
DB00146,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,JWUBBDSIWDLEOM,1
DB00150,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,QIVBCDIJIAJPQS,1
DB00152,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,JZRWCGZRTZMZEH,1
DB00153,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,MECHNRXZTMCUDQ,1
DB00158,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO,1
DB00162,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,FPIPGXGPPPQFEQ,1
DB00163,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,GVJHHUAWPYXKBD,1
DB00165,CC1=C(O)C(CO)=C(CO)C=N1,LXNHXLLTXMVWPM,1
DB00166,OC(=O)CCCC[C@@H]1CCSS1,AGBQKNBQESQNJD,1
DB00169,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,QYSXJUFSXHHAJI,1
DB00170,CC1=CC(=O)C2=CC=CC=C2C1=O,MJVAVZPDRWSRRC,1
DB00175,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,TUZYXOIXSAXUGO,1
DB00176,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,CJOFXWAVKWHTFT,1
DB00177,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,ACWBQPMHZXGDFX,1
DB00178,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,HDACQVRGBOVJII,0
DB00179,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,HCZKYJDFEPMADG,0
DB00180,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,XSFJVAJPIHIPKU,1
DB00181,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,KPYSYYIEGFHWSV,1
DB00182,CC(N)CC1=CC=CC=C1,KWTSXDURSIMDCE,1
DB00184,CN1CCC[C@H]1C1=CN=CC=C1,SNICXCGAKADSCV,1
DB00185,CC1O[C@@]2(CS1)CN1CCC2CC1,WUTYZMFRCNBCHQ,1
DB00186,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,DIWRORZWFLOCLC,1
DB00187,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,AQNDDEOPVVGCPG,1
DB00188,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,GXJABQQUPOEUTA,1
DB00189,CCC(O)(\C=C\Cl)C#C,ZEHYJZXQEQOSON,1
DB00190,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,TZFNLOMSOLWIDK,1
DB00191,CC(C)(N)CC1=CC=CC=C1,DHHVAGZRUROJKS,1
DB00193,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,TVYLLZQTGLZFBW,1
DB00195,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,NWIUTZDMDHAVTP,1
DB00196,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,RFHAOTPXVQNOHP,1
DB00198,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,VSZGPKBBMSAYNT,1
DB00199,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,ULGZDMOVFRHVEP,1
DB00201,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,RYYVLZVUVIJVGH,1
DB00202,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,AXOIZCJOOAYSMI,1
DB00203,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1,BNRNXUUZRGQAQC,1
DB00204,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,IXTMWRCNAAVVAI,1
DB00205,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,WKSAUQYGYAYLPV,1
DB00206,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,QEVHRUUCFGRFIF,1
DB00207,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,MQTOSJVFKKJCRP,1
DB00208,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,PHWBOXQYWZNQIN,1
DB00209,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,OYYDSUSKLWTMMQ,1
DB00210,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2,LZCDAPDGXCYOEH,0
DB00211,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,PTKSEFOSCHHMPD,1
DB00212,CC(C)(C)S(=O)(=O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,UXIGZRQVLGFTOU,1
DB00213,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,IQPSEEYGBUAQFF,1
DB00214,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,NGBFQHCMQULJNZ,1
DB00215,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,WSEQXVZVJXJVFP,1
DB00216,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2,PWVXXGRKLHYWKM,1
DB00217,CN\C(NCC1=CC=CC=C1)=N/C,NIVZHWNOUVJHKV,1
DB00218,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,FABPRXSRWADJSP,1
DB00219,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,GFRUPHOKLBPHTQ,1
DB00220,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,QAGYKUNXZHXKMR,1
DB00221,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1,HUYWAWARQUIQLE,0
DB00222,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,WIGIZIANZCJQQY,1
DB00223,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,WXURHACBFYSXBI,1
DB00224,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,CBVCZFGXHXORBI,1
DB00226,NC(N)=NCC1COC2(CCCCC2)O1,HPBNRIOWIXYZFK,0
DB00227,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,PCZOHLXUXFIOCF,1
DB00228,FC(F)OC(F)(F)C(F)Cl,JPGQOUSTVILISH,1
DB00229,[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O,QYQDKDWGWDOFFU,1
DB00230,CC(C)C[C@H](CN)CC(O)=O,AYXYPKUFHZROOJ,1
DB00231,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,SEQDDYPDSLOBDC,1
DB00232,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,CESYKOGBSMNBPD,1
DB00233,NC1=CC(O)=C(C=C1)C(O)=O,WUBBRNOQWQTFEX,1
DB00234,[H][C@@](OC1=CC=CC=C1OCC)(C1=CC=CC=C1)[C@@]1([H])CNCCO1,CBQGYUDMJHNJBX,1
DB00235,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1,PZRHRDRVRGEVNW,1
DB00236,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,NJBFOOCLYDNZJN,1
DB00237,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,ZRIHAIZYIMGOAB,1
DB00238,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,NQDJXKOVJZTUJA,1
DB00239,ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,QRJJEGAJXVEBNE,0
DB00240,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C,FJXOGVLKCZQRDN,1
DB00241,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,UZVHFVZFNXBMQJ,1
DB00242,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,PTOAARAWEBMLNO,1
DB00243,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,XKLMZUWKNUAPSZ,1
DB00244,NC1=CC(C(O)=O)=C(O)C=C1,KBOPZPXVLCULAV,1
DB00245,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,GIJXKZJWITVLHI,1
DB00246,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,MVWVFYHBGMAFLY,1
DB00247,[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO,KPJZHOPZRAFDTN,1
DB00248,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC,KORNTPPJEAJQIU,1
DB00250,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,MQJKPEGWNLWLTK,1
DB00251,CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,BLSQLHNBWJLIBQ,0
DB00252,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,CXOFVDLJLONNDW,1
DB00253,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,GZENKSODFLBBHQ,1
DB00254,[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,JBIWCJUYHHGXTC,0
DB00255,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,RGLYKWWBQGJZGM,1
DB00256,[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C,AHEVKYYGXVEWNO,0
DB00257,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,VNFPBHJOKIVQEB,1
DB00258,[Ca++].CC([O-])=O.CC([O-])=O,VSGNNIFQASZAOI,0
DB00259,NC1=CC=C(C=C1)S(N)(=O)=O,FDDDEECHVMSUSB,1
DB00260,N[C@@H]1CONC1=O,DYDCUQKUCUHJBH,1
DB00261,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,OTBXOEAOVRKTNQ,1
DB00262,ClCCNC(=O)N(CCCl)N=O,DLGOEMSEDOSKAD,1
DB00263,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C,NHUHCSRWZMLRLA,1
DB00264,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,IUBSYMUCCVWXPE,1
DB00266,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2,DOBMPNYZJYQDGZ,1
DB00267,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,HJJDBAOLQAWBMH,0
DB00268,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,UHSKFQJFRQCDBE,1
DB00270,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C,HMJIYCCIJYRONP,0
DB00271,CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I,YVPYQUNUQOZFHG,1
DB00273,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,KJADKKWYZYXHBB,1
DB00274,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O,SNBUBQHDYVFSQF,1
DB00275,CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O,VTRAEEWXHOVJFV,1
DB00276,COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1,XCPGHVQEEXUHNC,1
DB00277,CN1C2=C(NC=N2)C(=O)N(C)C1=O,ZFXYFBGIUFBOJW,1
DB00278,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2,KXNPVXPOPUZYGB,1
DB00279,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,AUYYCJSJGJYCDS,1
DB00280,CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C,UVTNFZQICZKOEM,1
DB00281,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,NNJVILVZKWQKPM,1
DB00282,NCCC(O)(P(O)(O)=O)P(O)(O)=O,WRUUGTRCQOWXEG,1
DB00283,CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,YNNUSGIPVFPVBX,1
DB00284,[H]C(=O)[C@H](O)[C@@H](O)[C@]([H])(O[C@@]1([H])O[C@H](CO)[C@@]([H])(O[C@H]2O[C@H](C)[C@@H](N[C@@]3([H])C=C(CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO,CEMXHAPUFJOOSV,1
DB00285,COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1,PNVNVHUZROJLTJ,1
DB00287,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F,MKPLKVHSHYCHOC,1
DB00288,[H][C@@]12C[C@H]3OC4(CCCC4)O[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,ILKJAFIWWBXGDU,1
DB00289,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,VHGCDTVCOLNTBX,1
DB00290,[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O,OYVAGSVQBOHSSS,1
DB00291,OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,JCKYGMPEJWAADB,1
DB00292,CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1,NPUKDXXFDDZOKR,1
DB00293,CN(CC1=CC2=C(NC(C)=NC2=O)C=C1)C1=CC=C(S1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,IVTVGDXNLFLDRM,1
DB00294,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],GCKFUYQCUCGESZ,1
DB00295,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,BQJCRHHNABKAKU,1
DB00296,CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,ZKMNUMMKYBVTFN,1
DB00297,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,LEBVLXFERQHONN,1
DB00298,CC1=CC=CC=C1N1CCN(CCC2=NN=C3CCCCN23)CC1,RFWZESUMWJKKRN,1
DB00300,[H][C@@](C)(CN1C=NC2=C(N)N=CN=C12)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C,JFVZFKDSXNQEJW,1
DB00301,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(Cl)C=CC=C1F)C(O)=O,UIOFUWFRIANQPC,1
DB00302,NC[C@H]1CC[C@@H](CC1)C(O)=O,GYDJEQRTZSCIOI,1
DB00303,[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@@]([H])(C3)C(=O)NC3=CC=CC(=C3)C(O)=O)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O,JUZNIMUFDBIJCM,1
DB00304,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H],RPLCPCMSCLEKRS,1
DB00305,[H][C@]12CN3C4=C([C@@H](COC(N)=O)[C@@]3(OC)[C@@]1([H])N2)C(=O)C(N)=C(C)C4=O,NWIBSHFKIJFRCO,1
DB00307,CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C,NAVMQTYZDKMPEU,1
DB00308,CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,ALOBUEHUHMBRLE,1
DB00309,[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C)[C@@]1([H])[C@](O)([C@H](O)[C@]2(CC)C=CC3)C(N)=O)[C@]1(C[C@@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=C2C=CC=C1)C(=O)OC,HHJUWIANJFBDHT,0
DB00310,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12,JIVPVXMEBJLZRO,1
DB00312,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,WEXRUCMBJFQVBZ,1
DB00313,CCCC(CCC)C(O)=O,NIJJYAXOARWZEE,1
DB00314,[H][C@@]1(CCN=C(N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CNC(=O)C[C@@H](N)CCCN)NC(=O)[C@H](C)NC(=O)[C@@H](N)CNC1=O)=C/NC(N)=O.[H][C@@]1(CCN=C(N)N1)[C@]1([H])NC(=O)\C(NC(=O)[C@H](CNC(=O)C[C@@H](N)CCCN)NC(=O)[C@H](CO)NC(=O)[C@@H](N)CNC1=O)=C/NC(N)=O,VCOPTHOUUNAYKQ,0
DB00315,CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12,ULSDMUVEXKOYBU,1
DB00316,CC(=O)NC1=CC=C(O)C=C1,RZVAJINKPMORJF,1
DB00317,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1,XGALLCVXEZPNRQ,1
DB00318,[H][C@]12C=C[C@H](O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4OC,OROGSEYTTFOCAN,1
DB00319,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C(O)=O,IVBHGBMCVLDMKU,1
DB00320,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O,LUZRJRNZXALNLM,1
DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,KRMDCWKBEZIMAB,1
