ik14,status,cid,smiles,error
AEQDJSLRWYMAQI,ok,175731940,COC1=C(C2=C(CC3C4=CC(=C(C=C4CCN3C2)OC)OC)C=C1)OC,
AEUTYOVWOVBAKS,ok,171700736,CCC(CO)NCCNC(CC)CO,
AFCGFAGUEYAMAO,ok,132935668,CC(=O)NCCCS(=O)(=O)[O-],
AFHJQYHRLPMKHU,ok,168314870,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2C4C(C(C(C(O4)CO)O)O)O)C=C(C=C3O)CO,
AFJYYKSVHJGXSN,ok,177697164,CC1CCC2(CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5=NO)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)O)OC)C)OC1C7CCCCC7,
AFLFKFHDSCQHOL,ok,156194018,CC1=CC(=CC(=C1OC(C)(C)C(=O)O)C)C=CC(=O)C2=CC=C(C=C2)SC,
AFNXATANNDIXLG,ok,51375274,C1=CC(=CC=C1CSC(C[N+]2=CNC=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,
AFSDNFLWKVMVRB,ok,163417515,C1=C2C3=C(C(=C1[OH2+])O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,
AGAHNABIDCTLHW,ok,57369296,CC1=CC=C(C=C1)C2(CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F)O,
AGBQKNBQESQNJD,ok,176480445,C1CSSC1CCCCC(=O)O,
AGHANLSBXUWXTB,ok,76973258,C1=CSC(=C1)C(=O)C2=C(C(=C(C=C2)OCC(=O)O)Cl)Cl,
AGMMTXLNIQSRCG,ok,76972169,CCC1NC2=CC(=C(C=C2C(=O)N1)S(=O)(=O)N)Cl,
AGOYDEPGAOXOCK,ok,178253661,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,
AGRCPNMCOXLKFO,ok,124744632,CN(C(=O)NC(C=O)C(C(C(CO)O)O)O)N=O,
AHBKIEXBQNRDNL,ok,172873933,CC(=O)C12C(CC3C1(CCC4C3CCC5=CC(=O)CCC45C)C)OC(O2)(C)C6=CC=CC=C6,
AHEVKYYGXVEWNO,failed,,,no_cid
AHFWIQIYAXSLBA,ok,178344753,C1=CC=C2C(=C1)C=C(S2)CC3=C(C=CC(=C3)C4C(C(C(C(O4)CO)O)O)O)F,
AHJRHEGDXFFMBM,ok,158044196,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,
AHLBNYSZXLDEJQ,ok,92535993,CCCCCCCCCCCC(CC1C(C(=O)O1)CCCCCC)OC(=O)C(CC(C)C)NC=O,
AHNIKTNNZJNCFN,ok,135449314,CCC1=C(C2=CC3=NC(=CN=C4C=C(C(=CC4=NC=C5C(=C(C(=N5)C=C1N2)CCCO)C)OCCOCCOCCOC)OCCOCCOCCOC)C(=C3CCCO)C)CC,
AHOUBRCZNHFOSL,ok,178325963,C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,
AHYHTSYNOHNUSH,ok,172676785,CC(C(=O)N1C2CCCCC2CC1C(=O)O)NC(CCC3=CC=CC=C3)C(=O)O,
AHYMHWXQRWRBKT,ok,25171648,CN1CCC(CC1)COC2=CN=C(N=C2)C3=CC=CC(=C3)CN4C(=O)C=CC(=N4)C5=CC=CC(=C5)C#N,
AHZBEVXBKNYXPU,ok,171381897,C[N+]1=CC=CC(=C1)OC(=O)N(C)CCCCCCN(C)C(=O)OC2=C[N+](=CC=C2)C,
AIJTTZAVMXIJGM,ok,169441061,CC1CN(CCN1)C2=C(C(=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)C)F,
AILRADAXUVEEIR,ok,177747045,CN1CCN(CC1)C2CCN(CC2)C3=CC(=C(C=C3)NC4=NC=C(C(=N4)NC5=CC=CC=C5P(=O)(C)C)Cl)OC,
AIONOLUJZLIMTK,ok,169441217,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,
AIUHRQHVWSUTGJ,ok,6762,CC(=O)OCCN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,
AIZFEOPQVZBNGH,ok,135412795,C1CCC2=C(C1)C3=C(S2)NC(=O)CN=C3C4=CC=CC=C4,
AJBMORBNKXNZSF,ok,166639473,COC1C(OC(C(C1OC)OC)OC2C(C(C(OC2C(=O)O)OC3C(OC(C(C3OS(=O)(=O)O)OS(=O)(=O)O)OC4C(C(C(OC4C(=O)O)OC5C(OC(C(C5OS(=O)(=O)O)OS(=O)(=O)O)OC)COS(=O)(=O)O)OC)OC)COS(=O)(=O)O)OC)OC)COS(=O)(=O)O,
AJIPIJNNOJSSQC,ok,175675620,CC12CCC3C(C1C(C(C2O)O)O)CCC4=C3C=CC(=C4)O,
AJKIRUJIDFJUKJ,ok,169446721,C1CS(=O)(=O)NCN1CN2CCS(=O)(=O)NC2,
AJLFOPYRIVGYMJ,ok,162857322,CCC(C)C(=O)OC1CCC=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O,
AJOQSQHYDOFIOX,ok,12309788,CCC(C1=CC=CC=C1)C(=O)NC(=O)N,
AJXPJJZHWIXJCJ,ok,129827355,CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2,
AKFNKZFJBFQFAA,ok,23149694,CCOC(=O)C12CCC(CC1)(CC2)NCC(=O)N3CC(CC3C#N)F,
AKJHMTWEGVYYSE,ok,173539513,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)NC2=CC=C(C=C2)O)C)C,
AKNNEGZIBPJZJG,ok,71751263,CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,
AKPLHCDWDRPJGD,ok,176063361,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3,
AKUJBENLRBOFTD,ok,172400025,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COC(=O)C)O)C)O)F)C,
ALARQZQTBTVLJV,ok,46782123,CCC1(C(=O)NC(=O)N(C1=O)C)C2=CC=CC=C2,
ALAXZYHFVBSJKZ,ok,47608,C1CN(CC2=CC(=NN=C21)NN)C(=O)C3=CC=CC=C3,
ALEXXDVDDISNDU,ok,172970552,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,
ALFGKMXHOUSVAD,ok,76974342,CCC(=O)C1(CCN(CC1)C)C2=CC(=CC=C2)O,
ALIVXCSEERJYHU,ok,178875195,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)OC(C)OC(=O)C,
ALOBUEHUHMBRLE,ok,169442368,CCCCCCCN(CC)CCCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,
ALWKGYPQUAPLQC,ok,4456,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C,
AMDBBAQNWSUWGN,ok,92328174,C(CO)N(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)CO,
AMEROGPZOLAFBN,ok,163425553,CCCCC1=[NH+]C(=C(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CC(=S)N(C)C)C,
AMHPTVWBZSYFSS,ok,118984411,CC1(CCC2CC(CC1N2C)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)C,
AMKVXSZCKVJAGH,ok,91886218,CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C,
AMVODTGMYSRMNP,ok,169440733,CC1(CCC2C1(CC(C3C2CCC4=CC(=O)C(=CC34C)C=O)O)C)O,
ANEBWFXPVPTEET,ok,46782099,CC1=C(C(C(=C(N1)C)C(=O)OCCN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC,
ANGKOCUUWGHLCE,ok,169441047,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C,
ANJQEDFWRSLVBR,ok,56637945,CC1=CC(=O)CC2C1(C3CCC4(C(C3CC2)CCC4O)C)C,
ANMLJLFWUCQGKZ,ok,37888217,C1=CC=C2C(=C1)C(OC2=O)OC(=O)C3=C(N=CC=C3)NC4=CC=CC(=C4)C(F)(F)F,
ANTSCNMPPGJYLG,failed,,,no_cid
ANWPENAPCIFDSZ,ok,135735780,CCC(C(=O)N)N1CC(CC1=O)C=C(F)F,
ANZXOIAKUNOVQU,ok,117065267,CC(C)(C)NCC(C1=CC(=CC(=C1)OC(=O)N(C)C)OC(=O)N(C)C)O,
AOCCBINRVIKJHY,ok,136401397,CCCCCCN=C(N1C=C(C(=O)NC1=O)F)[O-],
AOJJSUZBOXZQNB,ok,178458242,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,
AOMXMOCNKJTRQP,ok,10348973,CN(C)CC1=C(SC2=C1C(=O)N(C(=O)N2CC3=C(C=CC=C3F)F)C4=NN=C(C=C4)OC)C5=CC=C(C=C5)NC(=O)NOC,
AOYNUTHNTBLRMT,ok,171036142,C(C(C(C(C(C=O)F)O)O)O)O,
APGDTXUMTIZLCJ,ok,172013268,CC12CC(C3C(C1CCC2(C(=O)COC(=O)CCC(=O)[O-])O)CCC4=CC(=O)C=CC34C)O,
APIXJSLKIYYUKG,ok,3758,CC(C)CN1C2=C(C(=O)N(C1=O)C)NC=N2,
APKFDSVGJQXUKY,ok,177857404,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,
APQPGQGAWABJLN,ok,76958518,C1=CC=C(C(=C1)C(=O)OCC(CO)O)NC2=C3C=CC=C(C3=NC=C2)C(F)(F)F,
APTGJECXMIKIET,ok,125124412,CCCCCCC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34)C)C#C,
AQCHWTWZEMGIFD,ok,76974425,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,
AQHHHDLHHXJYJD,ok,138402714,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,
AQIXAKUUQRKLND,ok,136915924,CC1=C(N=CN1)CSCCN=C(NC)NC#N,
AQNDDEOPVVGCPG,ok,177747029,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O,
AQOKCDNYWBIDND,ok,177784862,CCNC(=O)CCCC=CCC1C(CC(C1C=CC(CCC2=CC=CC=C2)O)O)O,
AQOXEJNYXXLRQQ,ok,171379951,CCOC1=CC=C(C=C1)CC(CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,
ARAIBEBZBOPLMB,ok,175124819,CC(=O)NC1C(C=C(OC1C(C(CO)O)O)C(=O)O)N=C(N)N,
ARHWPKZXBHOEEE,ok,51382576,C=CCOC1=C(C=C(C=C1)CC(=O)[O-])Cl,
ARKYUICTMUZVEW,ok,65924,CN1C=C(C=C1C(=O)NC2=CN(C(=C2)C(=O)NC3=CN(C(=C3)C(=O)NCCC(=N)N)C)C)NC(=O)C4=CC=C(C=C4)N(CCCl)CCCl,
ARPLCFGLEYFDCN,ok,171035857,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)COC(=O)C)C)O)Cl)C)F,
ARPYQKTVRGFPIS,ok,124300196,CC(C1=CC2=C(C=C1)OC(=N2)C3=CC=C(C=C3)F)C(=O)O,
ASKZRYGFUPSJPN,ok,176029281,CC1=CC(=NN2C1=NC(=C2)C)C3=CC(=O)N4C=C(C=CC4=N3)N5CCNC6(C5)CC6,
ASMXXROZKSBQIH,ok,76974213,C1C[N+]2(CCC1C(C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5,
ASOADIZOVZTJSR,ok,178878255,CC1=C(C(=[N+](C(=C1Cl)C)[O-])Cl)C2=NOC(=N2)C3=CC(=C(C(=C3)O)O)[N+](=O)[O-],
ASPOIVQEUUCDQT,failed,,,no_cid
ASUTZQLVASHGKV,ok,170997259,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O,
ASWVTGNCAZCNNR,ok,177520880,CC1=CC(=NC(=NS(=O)(=O)C2=CC=C(C=C2)N)N1)C,
ASXBYYWOLISCLQ,ok,154701840,CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(CO)O,
ATALOFNDEOCMKK,ok,169433675,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,
ATEBXHFBFRCZMA,failed,,,no_cid
ATHGHQPFGPMSJY,ok,178420892,C(CC[NH2+]CCC[NH3+])CN,
ATLYLVPZNWDJBW,ok,74347974,C1CCC(CC1)CN(CCN2C3CCC2CC(C3)C4=CC(=CC=C4)C(=O)N)C(=O)C(CO)O,
ATSZELKUSAREPW,ok,137151310,CC(C)C(C(=O)OCCC(CN1C=NC2=C1N=C(NC2=O)N)CO)N,
ATXHVCQZZJYMCF,ok,172873591,CC12CCC3C(C1CCC2(CC=C)O)CCC4=CCCCC34,
AUJRCFUBUPVWSZ,ok,165339206,CCP(CC)CC.CC(=O)OCC1C(C(C(C(O1)[S-])OC(=O)C)OC(=O)C)OC(=O)C.[Au+],
AURFZBICLPNKBZ,ok,176777044,CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C,
AUVVAXYIELKVAI,ok,174944230,[H+].CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,
AUYYCJSJGJYCDS,ok,175794388,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O,
AUZONCFQVSMFAP,ok,46781408,CCN(CC)C(=S)SSC(=S)N(CC)CC,
AVAACINZEOAHHE,ok,171159780,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)CNS(=O)(=O)N)C(=O)O)C(C)O,
AVJBPWGFOQAPRH,ok,176448273,CC(=NC1C(C(C(OC1O)CO)OS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)[O-])O)O)O)[O-],
AVKUERGKIZMTKX,ok,153706404,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,
AVOLMBLBETYQHX,ok,76973853,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,
AVPQPGFLVZTJOR,ok,176488599,CC1CC(CN(C1)C2=C(C3=C(C=C2)C(=O)C(=CN3C4CC4)C(=O)O)OC)N,
AWBGQVBMGBZGLS,ok,20689,CCCC(=O)SCC[N+](C)(C)C,
AWKLBIOQCIORSB,ok,28329,CCN(CC)CCN1C=NC2=C1C(=O)N(C(=O)N2C)C,
AXJQVVLKUYCICH,ok,11363773,CN=C(NS(=O)(=O)C1=CC=C(C=C1)Cl)N2CC(C(=N2)C3=CC=C(C=C3)Cl)C4=CC=CC=C4,
AXKPFOAXAHJUAG,ok,86289684,C1CC[NH+](CC1)C2(CC[NH+](CC2)CCCC(=O)C3=CC=C(C=C3)F)C(=O)N,
AXOIZCJOOAYSMI,ok,46782952,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,
AXQACEQYCPKDMV,ok,169444554,CC(C)(C1=NC(=NO1)C2=CC=CC=C2)NC(=O)C3=C(C4C56CCN(C(C5(C3)O)CC7=C6C(=C(C=C7)O)O4)CC8CC8)O,
AXRYRYVKAWYZBR,ok,173493799,CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC,
AYDXAULLCROVIT,ok,163322451,CCC(C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O)C(=O)O,
AYEAMZDTWLXZIJ,ok,136132486,CC1=NC2=C(N1CC3CCN(CC3)C(=O)C=C(C4=CC=CC=C4)C5=CC=C(C=C5)N=NC6=CC(=C(C=C6)O)C(=O)O)C=CN=C2,
AYIRNRDRBQJXIF,ok,178878665,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,
AYJVGKWCGIYEAK,ok,68671,CC(C)(C(=O)OCCCOC(=O)C1=CN=CC=C1)OC2=CC=C(C=C2)Cl,
AYRXSINWFIIFAE,ok,162955482,C(C1C(C(C(C(O1)OCC(C(C(C(C=O)O)O)O)O)O)O)O)O,
AYXYPKUFHZROOJ,ok,177841278,CC(C)CC(CC(=O)O)CN,
AZFLJNIPTRTECV,ok,176519881,CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(CC#N)O,
AZSNMRSAGSSBNP,ok,178522556,CCC(C)C1C(CCC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C,
AZSRSNUQCUDCGG,ok,177747033,CC(C)OC(=O)C1=CN=C(N=C1C2=CN(C3=CC=CC=C32)C)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC,
BAINIUMDFURPJM,ok,3461006,C1C[NH+](CC[NH+]1CCCN2C3=CC=CC=C3NC2=O)C(C4=CC=CC=C4)C5=CC=CC=C5,
BALLNEJQLSTPIO,ok,172653176,CC1=C(C2=C(O1)C=C(C=C2)OC3=NC=NC4=CC(=C(C=C43)OC)OC)C(=O)NC,
BARDROPHSZEBKC,ok,169440772,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NN(C(=O)N3)P(=O)(O)O)C4=CC=C(C=C4)F,
BASFCYQUMIYNBI,ok,175672377,[Pt],
BBAWEDCPNXPBQM,ok,170419288,CCCC(C(=O)C(=O)NC1CC1)NC(=O)C2C3CCCC3CN2C(=O)C(C(C)(C)C)NC(=O)C(C4CCCCC4)NC(=O)C5=NC=CN=C5,
BBPRUNPUJIUXSE,ok,154730573,CCCCCNC(=O)C1=COC(=N1)C2C3CCC(C2CC4=CC=CC=C4CCC(=O)O)O3,
BCDIWLCKOCHCIH,ok,140779974,CP(=O)O,
BCEHBSKCWLPMDN,ok,169439513,CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,
BCFCRXOJOFDUMZ,ok,166816617,CC12CCC(=O)C=C1CCC3C2=CCC4(C3CCC4(C(=O)CO)O)C,
BCFGMOOMADDAQU,ok,163322461,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,
BCGWQEUPMDMJNV,ok,169490795,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,
BCQTVJKBTWGHCX,ok,4820,CC1=C(C(=CC=C1)C)NC(=O)CC23CCCN2CCC3,
BCQZXOMGPXTTIC,ok,157307598,C(C(F)(F)F)(Cl)Br,
BDAGIHXWWSANSR,ok,176323031,C(=O)O,
BDBMLMBYCXNVMC,ok,176486949,CC1(C(=[N+](C2=C1C3=CC=CC=C3C=C2)CCCCS(=O)(=O)[O-])C=CC=CC=CC=C4C(C5=C([NH+]4CCCCS(=O)(=O)[O-])C=CC6=CC=CC=C65)(C)C)C,
BDJRBEYXGGNYIS,ok,178615636,C(CCCC(=O)O)CCCC(=O)O,
BDNMABJZSXTKAQ,ok,165365458,CCN(CC)CCCOC(=O)C1(CC2CCC1C2)C3=CC=CC=C3,
BDVFVCGFMNCYPV,ok,172879867,CC1C[NH2+]CCN1S(=O)(=O)C2=CC=CC3=C2C=C[NH+]=C3,
BELMMAAWNYFCGF,ok,157323575,CCC1C(C(=O)C(C2=C(CC(O2)(C(C(C(C(C(=O)O1)C)OC3CC(C(C(O3)C)O)(C)OC)C)OC4C(C(CC(O4)C)N(C)C(C)C)O)C)C)C)(C)OC,
BEWNZPMDJIGBED,ok,11276514,CC(C1=CC=CC=C1)NNC(=O)C2=CC=CC=C2,
BFDBKMOZYNOTPK,ok,163409215,CNCC1=CN(C(=C1)C2=CC=CC=C2F)S(=O)(=O)C3=CN=CC=C3,
BFGKITSFLPAWGI,ok,173330439,[H+].[Cr+3],
BFMBKRQFMIILCH,ok,13867124,CCN(CC)CCC1(CCC(=O)NC1=O)C2=CC=CC=C2,
BFPSDSIWYFKGBC,ok,162642057,COC1=CC=C(C=C1)C(=C(C2=CC=C(C=C2)OC)Cl)C3=CC=C(C=C3)OC,
BFPYWIDHMRZLRN,ok,178875691,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O,
BFSMGDJOXZAERB,ok,147074609,CC(C)(C)C1=NC(=C(S1)C2=NC(=[NH+]C=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F,
BFYIZQONLCFLEV,ok,176519887,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C,
BFZKMNSQCNVFGM,ok,146158552,CC1CCCC2(C(O2)CC(OC(=O)CC(C(C(=O)C(C1O)CC=C)(C)C)O)C3=CC4=C(C=C3)SC(=N4)C)C,
BGDKAVGWHJFAGW,ok,164670201,CCN(CC1=CC=NC=C1)C(=O)C(CO)C2=CC=CC=C2,
BGEBZHIAGXMEMV,ok,163322615,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,
BGLHAKAJGYLSOX,ok,76969204,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)C(NC3=CC=C(C=C3)S(=O)(=O)NC4=NN=C(C=C4)OC)S(=O)(=O)O,
BGOQGUHWXBGXJW,ok,101921161,C1CC2=CC(=C(C=C2C3C1NCC4=CC=CC=C34)O)O,
BGRJTUBHPOOWDU,ok,172653315,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,
BGRWSFIQQPVEML,ok,172873332,CC1=NN=C2N1C3=C(C=C(C=C3)Br)C(=NC2)C4=CC=CC=N4,
BGSOJVFOEQLVMH,ok,162807321,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)COP(=O)(O)O)O)C)O,
BGSZAXLLHYERSY,ok,176481940,CC(=O)OC1CC2CCC3C(C2(CC1N4CCCCC4)C)CCC5(C3CC(C5OC(=O)C)[N+]6(CCCCC6)C)C,
BHELIUBJHYAEDK,ok,141541952,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)NC(=O)C(CC(=O)NC)N)C(=O)O)C,
BHHGXPLMPWCGHP,ok,175718678,C1=CC=C(C=C1)CCN,
BHIAIPWSVYSKJS,ok,139025512,CC(C)(C)NCC(CSC1=NC(=CS1)C2=CC=C(S2)C(=O)N)O,
BHMBVRSPMRCCGG,ok,177383656,CCCCCC(C=CC1C(C(CC1=O)O)CC=CCCCC(=O)O)O,
BHPQYMZQTOCNFJ,ok,156022699,[Ca+2],
BHQCQFFYRZLCQQ,ok,178443943,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,
BHTRKEVKTKCXOH,ok,22848423,CC(CCC(=O)NCCS(=O)(=O)[O-])C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,
BICRTLVBTLFLRD,ok,178878012,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC=C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,
